Date : 2022-08-01 22:55:48
Directory : d:\Fluter Projects\uber_app\uber_rider_app
Total : 109 files,  15456 codes, 668 comments, 976 blanks, all 17100 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         55 |      7,581 |        418 |        668 |      8,667 |
| JSON       |          8 |      5,895 |          0 |          7 |      5,902 |
| JavaScript |          3 |        700 |          2 |         53 |        755 |
| C++        |         16 |        516 |        107 |        170 |        793 |
| XML        |         12 |        485 |         50 |         13 |        548 |
| Groovy     |          3 |         92 |          5 |         22 |        119 |
| YAML       |          2 |         69 |         66 |         11 |        146 |
| Swift      |          4 |         56 |          3 |         12 |         71 |
| HTML       |          1 |         37 |         16 |          6 |         59 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| Kotlin     |          1 |          4 |          0 |          3 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        109 |     15,456 |        668 |        976 |     17,100 |
| android                                                                                                           |         14 |        231 |         54 |         37 |        322 |
| android\app                                                                                                       |         10 |        187 |         53 |         26 |        266 |
| android\app\src                                                                                                   |          8 |         83 |         48 |         13 |        144 |
| android\app\src\debug                                                                                             |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                              |          6 |         75 |         40 |         11 |        126 |
| android\app\src\main\kotlin                                                                                       |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                                                   |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                                                           |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\uber_rider_app                                                            |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                                          |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                   |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                             |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                           |          1 |          4 |          4 |          1 |          9 |
